product_id;tariff;code;child_code_1;child_count_1;child_code_2;child_count_2;child_code_3;child_count_3;child_code_4;child_count_4;period;region_id;profrole_group_id;price_all;currency
907867;;DI;CIV;1700;API_LIMITED;17000;;;;;183;2000232;19;15380400;RUR
907868;;DI;CIV;2900;API_LIMITED;29000;;;;;365;1000001;19;29626200;RUR
907870;;DI;CIV;2900;API_LIMITED;29000;;;;;365;2000232;19;25227100;RUR
907874;;DI;CIV;410;API_LIMITED;4100;;;;;30;1000001;5;4479500;RUR
907876;;DI;CIV;410;API_LIMITED;4100;;;;;30;2000232;5;3818800;RUR
907877;;DI;CIV;1030;API_LIMITED;10300;;;;;92;1000001;5;11017100;RUR
907879;;DI;CIV;1030;API_LIMITED;10300;;;;;92;2000232;5;9374100;RUR
907880;;DI;CIV;1700;API_LIMITED;17000;;;;;183;1000001;5;18061100;RUR
907882;;DI;CIV;1700;API_LIMITED;17000;;;;;183;2000232;5;15380400;RUR
907883;;DI;CIV;2900;API_LIMITED;29000;;;;;365;1000001;5;29626200;RUR
907885;;DI;CIV;2900;API_LIMITED;29000;;;;;365;2000232;5;25227100;RUR
907889;;DI;CIV;410;API_LIMITED;4100;;;;;30;1000001;2;4683000;RUR
907891;;DI;CIV;410;API_LIMITED;4100;;;;;30;2000232;2;3992400;RUR
907892;;DI;CIV;1030;API_LIMITED;10300;;;;;92;1000001;2;11518100;RUR
907894;;DI;CIV;1030;API_LIMITED;10300;;;;;92;2000232;2;9800100;RUR
907895;;DI;CIV;1700;API_LIMITED;17000;;;;;183;1000001;2;18882000;RUR
907897;;DI;CIV;1700;API_LIMITED;17000;;;;;183;2000232;2;16079500;RUR
907898;;DI;CIV;2900;API_LIMITED;29000;;;;;365;1000001;2;30973000;RUR
907900;;DI;CIV;2900;API_LIMITED;29000;;;;;365;2000232;2;26374000;RUR
907904;;DI;CIV;410;API_LIMITED;4100;;;;;30;1000001;15;4479500;RUR
907906;;DI;CIV;410;API_LIMITED;4100;;;;;30;2000232;15;3818800;RUR
907907;;DI;CIV;1030;API_LIMITED;10300;;;;;92;1000001;15;11017100;RUR
907909;;DI;CIV;1030;API_LIMITED;10300;;;;;92;2000232;15;9374100;RUR
907910;;DI;CIV;1700;API_LIMITED;17000;;;;;183;1000001;15;18061100;RUR
907912;;DI;CIV;1700;API_LIMITED;17000;;;;;183;2000232;15;15380400;RUR
907913;;DI;CIV;2900;API_LIMITED;29000;;;;;365;1000001;15;29626200;RUR
907915;;DI;CIV;2900;API_LIMITED;29000;;;;;365;2000232;15;25227100;RUR
907919;;DI;CIV;410;API_LIMITED;4100;;;;;30;1000001;3;4683000;RUR
907921;;DI;CIV;410;API_LIMITED;4100;;;;;30;2000232;3;3992400;RUR
907922;;DI;CIV;1030;API_LIMITED;10300;;;;;92;1000001;3;11518100;RUR
907924;;DI;CIV;1030;API_LIMITED;10300;;;;;92;2000232;3;9800100;RUR
907925;;DI;CIV;1700;API_LIMITED;17000;;;;;183;1000001;3;18882000;RUR
